suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_ms,decompose_k_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_speedup_vs_eager,decompose_k_speedup_vs_compiled,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k
matmul-fp16,16,16,8192,float16,0.01190400030463934,0.009855999611318111,0.008927999995648861,0.009503999724984169,1.3333333681049349,1.1039426093326075,1.2525253208231935,1.0370370261489594,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1004,32,16,16,128
matmul-fp16,16,16,12288,float16,0.011935999616980553,0.009983999654650688,0.009056000038981438,0.009920000098645687,1.3180211534454718,1.1024734553527704,1.2032257558757582,1.0064515680815103,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1024,48,16,16,128
matmul-fp16,16,16,16384,float16,0.012160000391304493,0.010143999941647053,0.009344000369310379,0.01033599954098463,1.3013698534562392,1.085616389203516,1.1764706783400363,0.98142418654565,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1040,32,16,16,128
matmul-fp16,16,16,20480,float16,0.012608000077307224,0.01056000031530857,0.009727999567985535,0.010623999871313572,1.2960526970827237,1.0855263964095063,1.1867470096033,0.9939759453331876,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1058,40,16,16,128
matmul-fp16,16,16,24576,float16,0.012703999876976013,0.010591999627649784,0.010111999697983265,0.01104000024497509,1.2563291392808977,1.0474683488926775,1.1507246010033652,0.9594202348383809,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1078,48,16,16,128
matmul-fp16,16,16,28672,float16,0.012959999963641167,0.010751999914646149,0.010015999898314476,0.011231999844312668,1.2939297219663626,1.0734824304915906,1.1538461666025996,0.9572649629344887,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1097,56,16,16,128
matmul-fp16,16,16,32768,float16,0.012927999719977379,0.010879999957978725,0.010015999898314476,0.011487999930977821,1.2907348094275584,1.0862619876633233,1.1253481718011282,0.9470752109460236,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1114,64,16,16,128
matmul-fp16,32,32,8192,float16,0.011983999982476234,0.010208000428974628,0.009568000212311745,0.010015999898314476,1.252508331579641,1.0668896532672894,1.1964856334007092,1.019169382249341,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1128,32,16,16,128
matmul-fp16,32,32,12288,float16,0.01244799979031086,0.010432000271975994,0.009855999611318111,0.01065600011497736,1.2629870415189781,1.0584416277773017,1.1681681358856955,0.9789789939391492,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1147,24,16,16,128
matmul-fp16,32,32,16384,float16,0.012640000320971012,0.010784000158309937,0.01017600018531084,0.010944000445306301,1.2421383737017793,1.0597484239315118,1.154970742567184,0.9853800913298586,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1163,32,16,16,128
matmul-fp16,32,32,20480,float16,0.013311999849975109,0.011327999643981457,0.010784000158309937,0.011744000017642975,1.2344213329519609,1.0504450554233649,1.1335149718985467,0.9645776249117369,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1182,40,16,16,128
matmul-fp16,32,32,24576,float16,0.013439999893307686,0.011327999643981457,0.011231999844312668,0.012191999703645706,1.196581203668111,1.0085469908297229,1.1023622227688208,0.9291338516514324,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1202,48,16,16,128
matmul-fp16,32,32,28672,float16,0.013567999936640263,0.011839999817311764,0.01119999960064888,0.012431999668478966,1.2114286089665744,1.057142878525264,1.091377115384068,0.9523809630828576,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_1221,56,16,16,128
matmul-fp16,32,32,32768,float16,0.013919999822974205,0.011872000060975552,0.011552000418305397,0.012671999633312225,1.204986090626906,1.0277007990895741,1.0984848663017026,0.9368687187905506,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1237,32,16,16,128
matmul-fp16,48,48,8192,float16,0.012671999633312225,0.01071999967098236,0.010239999741315842,0.01071999967098236,1.2374999954525263,1.046874994315658,1.1820895543134833,1.0,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_1251,16,16,16,128
matmul-fp16,48,48,12288,float16,0.01283199992030859,0.011136000044643879,0.011136000044643879,0.011296000331640244,1.1522988387989852,1.0,1.135977296704391,0.9858356690599414,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1271,24,16,16,128
matmul-fp16,48,48,16384,float16,0.012992000207304955,0.011839999817311764,0.011359999887645245,0.012128000147640705,1.1436620013909171,1.0422535153533365,1.0712401095931983,0.9762532712052311,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1287,16,16,16,128
matmul-fp16,48,48,20480,float16,0.013535999692976475,0.012000000104308128,0.011839999817311764,0.012480000033974648,1.1432432349521593,1.0135135379615818,1.0846153570614623,0.961538467278862,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1306,20,16,16,128
matmul-fp16,48,48,24576,float16,0.013632000423967838,0.012191999703645706,0.011872000060975552,0.012736000120639801,1.1482480082507398,1.0269541476605972,1.0703517819441593,0.9572863998240315,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1325,24,16,16,128
matmul-fp16,48,48,28672,float16,0.01414399966597557,0.012799999676644802,0.012384000234305859,0.013151999562978745,1.1421188144678973,1.0335916855998235,1.0754258010918114,0.9732360174855252,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1344,28,16,16,128
matmul-fp16,48,48,32768,float16,0.014240000396966934,0.013183999806642532,0.012608000077307224,0.01408000010997057,1.1294416489255183,1.045685257439999,1.011363656658146,0.9363636153174781,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1361,32,16,16,128
matmul-fp16,64,64,8192,float16,0.012640000320971012,0.011008000001311302,0.01027199998497963,0.010944000445306301,1.2305296280621127,1.0716510920373734,1.154970742567184,1.005847912408707,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1376,16,16,16,128
matmul-fp16,64,64,12288,float16,0.013104000128805637,0.011807999573647976,0.011552000418305397,0.01196799986064434,1.134349000545475,1.0221605908996436,1.0949198096080306,0.9866309919068005,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_1394,16,16,16,128
matmul-fp16,64,64,16384,float16,0.013407999649643898,0.012160000391304493,0.011935999616980553,0.012703999876976013,1.123324403476792,1.0187668215073724,1.055415599770571,0.9571788813807033,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1411,16,16,16,128
matmul-fp16,64,64,20480,float16,0.01375999953597784,0.012319999746978283,0.012319999746978283,0.013120000250637531,1.1168831021569416,1.0,1.0487804324019894,0.9390243530200867,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1430,16,16,32,256
matmul-fp16,64,64,24576,float16,0.013728000223636627,0.012671999633312225,0.012319999746978283,0.01408000010997057,1.114285755322656,1.0285714199320724,0.9750000082681336,0.8999999669274656,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_1448,24,16,32,128
matmul-fp16,64,64,28672,float16,0.014415999874472618,0.013279999606311321,0.013120000250637531,0.014175999909639359,1.0987804572467224,1.0121950726080218,1.016930020200555,0.9367945605925987,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_1468,16,16,32,256
matmul-fp16,64,64,32768,float16,0.014671999961137772,0.013856000266969204,0.013472000136971474,0.014751999638974667,1.089073620246864,1.0285035723050442,0.9945770282134813,0.9392625139687342,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_1484,16,32,16,256
